,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
38,OGLE16aaa,"['OGLE 16aaa', 'OGLE16aaa']",16d50m13.2s,-64d16m20.7s,"['2017MNRAS.465L.114W', '2017ApJ...838..149A', '2016ATel.8559....1F', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017IAUS..324..127W', '2023PASP..135c4101G']",2015-12-17 00:00:00.000,0.1655,True,False,/home/nfranz/astro-otter/otterdb/.otter/OGLE16aaa.json
39,2020qhs,"['2020qhs', 'ZTF20abowque', 'PS20krl', 'ATLAS20upw', 'AT2020qhs']",34d28m29.2512s,-9d36m50.8932s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2020TNSTR2274....1F']",59056.4415625,0.345,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020qhs.json
40,2022wyq,"['2022wyq', 'ZTF20acyxwgf', 'J094806']",147d01m38.25s,3d18m01.9s,"['2017arXiv171104577K', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017NatAs...1..865K', '2019ApJ...871...15J', '2023PASP..135c4101G', '2022TNSTR2919....1F']",59695.193,0.207,True,False,/home/nfranz/astro-otter/otterdb/.otter/J094806.json
41,2021yte,"['2021yte', 'ZTF21acafvhf', 'AT2021yte']",103d46m10.99992s,12d38m03.17652s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR3154....1F', '2021TNSCR3611....1Y']",59469.47592590278,0.053,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2021yte.json
42,2020vdq,"['ZTF20acaazkt', '2020vdq', 'Gaia20esn', 'AT2020vdq']",152d13m21.614916s,42d43m00.22242s,"['2023arXiv231003791S', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2020TNSTR3060....1N', '2023TNSCR1153....1T', ' 2023TNSCR1154....1C', ' 2023TNSCR1865....1N']",59126.49162,0.045,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020vdq.json
43,SRGE J133053.3+734824,['SRGE J133053.3+734824'],202d43m15.3048s,73d48m24.2604s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-11-02 00:00:00.000,0.1505,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J133053.3+734824.json
44,UGC 03317,['UGC 03317'],83d24m25.2s,73d43m26.4s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2010-09-22 00:00:00.000,0.004136,False,False,/home/nfranz/astro-otter/otterdb/.otter/UGC-03317.json
45,2019meg,"['ZTF19abhhjcc', 'Gaia19dhd', '2019meg', 'AT2019meg']",281d19m02.9892s,44d26m18.9816s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR1378....1N']",58692.72199074074,0.152,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019meg.json
46,PTF10nuj,"['PTF 10nuj', 'PTF10nuj']",246d36m10.5s,54d42m21.6s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2023PASP..135c4101G']",2010-01-01 00:00:00.000,0.132,True,False,/home/nfranz/astro-otter/otterdb/.otter/PTF10nuj.json
47,AT2021msu,"['AT2021msu', 'AT2021msu (= ATLAS21pis)']",223d38m13.65s,9d13m39.7s,"['2016A&A...594A..13P', 'ASAS-SN Supernovae', '2017ApJ...835...64G']",2021-06-01 00:43:12.000,0.05,False,False,/home/nfranz/astro-otter/otterdb/.otter/AT2021msu.json
48,PTF11glr,"['PTF 11glr', 'PTF11glr']",253d31m31.95s,41d20m14.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2023PASP..135c4101G']",2011-01-01 00:00:00.000,0.207,True,False,/home/nfranz/astro-otter/otterdb/.otter/PTF11glr.json
49,2019azh,"['ZTF18achzddr', 'ZTF17aaazdba', 'Gaia19bvo', 'ASASSN-19dj', '2019azh', 'AT 2019azh', 'AT2019azh']",123d19m14.055s,22d38m53.8s,"['2022MNRAS.511.5328G', '2021MNRAS.500.1673H', '2022ApJ...925...67L', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2019TNSCR.287....1B', '2019TNSTR...2....1S', '2021ApJ...912..151W', '2023PASP..135c4101G', '2019TNSTR.262....1S', ' 2020TNSCR2126....1D']",2019-02-22 00:00:00.000,0.022,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019azh.json
50,J121116,['J121116'],182d49m07.05s,0d13m45.3s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-05-04 00:00:00.000,0.0763,True,False,/home/nfranz/astro-otter/otterdb/.otter/J121116.json
51,Sw J2058+05,"['Swift J2058+05', 'Sw J2058+05']",314d34m58.5s,5d13m32s,"['2012ApJ...753...77C', '2015ApJ...805...68P', '2017MNRAS.472.4469B', '2017ApJ...838..149A', '2016A&A...594A..13P', '2017ApJ...835...64G', '2011ATel.3384....1K', '2012MNRAS.420.2684C', '2023PASP..135c4101G']",2011-05-27 00:00:00.000,1.1853,True,False,/home/nfranz/astro-otter/otterdb/.otter/Sw-J2058+05.json
52,2XMM J123103.2+110648,"['XJ1231+1106', '2XMM J123103.2+110648']",187d45m48s,11d06m48s,"['2017arXiv170206956L', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2012ApJ...756...27L', '2012ApJ...759L..16H', '2013ApJ...776L..10L', '2017MNRAS.468..783L', '2023PASP..135c4101G']",2003-07-13 00:00:00.000,0.118,False,False,/home/nfranz/astro-otter/otterdb/.otter/XJ1231+1106.json
