Source	MJD	Instrument	T _p (K)	R _p (cm)	f _sc	Gamma_sc	Statistics ^a /dof	
	57399	XMM-Newton	${3.0}_{-0.1}^{+0.1}\times {10}^{5}$	${4.9}_{-0.2}^{+0.2}\times {10}^{12}$	cdots	cdots	26.5/18	
	57726	XMM-Newton	${2.7}_{-0.1}^{+0.1}\times {10}^{5}$	${4.8}_{-0.3}^{+0.3}\times {10}^{12}$	cdots	cdots	22.7/12	
	58092	XMM-Newton	${2.3}_{-0.1}^{+0.1}\times {10}^{5}$	${6.0}_{-0.5}^{+0.6}\times {10}^{12}$	cdots	cdots	18.3/13	
ASASSN-15oi	57324	XMM-Newton	${5.2}_{-0.5}^{+0.1}\times {10}^{5}$	${5.4}_{-1.6}^{+0.4}\times {10}^{11}$	cdots	cdots	12.7/7	
	57482	XMM-Newton	${3.3}_{-0.1}^{+0.3}\times {10}^{5}$	${3.3}_{-0.1}^{+1.8}\times {10}^{12}$	cdots	cdots	15.8/10	
AT 2018fyk	${58404}_{-21}^{+13}$	Swift/XRT	${1.3}_{-0.1}^{+0.1}\times {10}^{6}$	${1.1}_{-0.1}^{+0.2}\times {10}^{11}$	${0.01}_{-0.01}^{+0.04}$	${1.9}_{-0.9}^{+1.5}$	101.5/108	
	${58436}_{-16}^{+23}$	Swift/XRT	${1.2}_{-0.1}^{+0.1}\times {10}^{6}$	${1.4}_{-0.2}^{+0.4}\times {10}^{11}$	${0.05}_{-0.03}^{+0.06}$	${2.4}_{-0.6}^{+0.6}$	128.1/117	
	58461	XMM-Newton	${1.2}_{-0.1}^{+0.1}\times {10}^{6}$	${1.5}_{-0.1}^{+0.1}\times {10}^{11}$	cdots	cdots	32.5/31	
	${58476}_{-12}^{+15}$	Swift/XRT	${1.3}_{-0.1}^{+0.1}\times {10}^{6}$	${1.1}_{-0.2}^{+0.3}\times {10}^{11}$	${0.01}_{-0.01}^{+0.02}$	${1.4}_{-0.5}^{+0.7}$	112.9/103	
	${58598}_{-35}^{+34}$	Swift/XRT	${1.7}_{-0.1}^{+0.1}\times {10}^{6}$	${9.1}_{-0.7}^{+0.9}\times {10}^{10}$	${0.19}_{-0.02}^{+0.03}$	${2.1}_{-0.1}^{+0.1}$	428.0/470	
	${58681}_{-45}^{+30}$	Swift/XRT	${1.4}_{-0.1}^{+0.1}\times {10}^{6}$	${1.2}_{-0.2}^{+0.3}\times {10}^{11}$	${0.27}_{-0.04}^{+0.05}$	${2.3}_{-0.1}^{+0.1}$	372.8/354	
	${58745}_{-28}^{+34}$	Swift/XRT	${1.8}_{-0.3}^{+0.3}\times {10}^{6}$	${4.7}_{-1.1}^{+2.2}\times {10}^{10}$	${0.13}_{-0.05}^{+0.09}$	${1.8}_{-0.3}^{+0.3}$	165.6/194	
	58783	XMM-Newton	${1.3}_{-0.1}^{+0.1}\times {10}^{6}$	${1.1}_{-0.1}^{+0.1}\times {10}^{11}$	${0.16}_{-0.01}^{+0.01}$	${2.2}_{-0.1}^{+0.1}$	160.4/136	
	${58822}_{-38}^{+35}$	Swift/XRT	${2.1}_{-0.2}^{+0.2}\times {10}^{6}$	${4.0}_{-0.6}^{+1.0}\times {10}^{10}$	${0.14}_{-0.04}^{+0.06}$	${1.7}_{-0.2}^{+0.2}$	221.4/282	
OGLE 16aaa	57548	XMM-Newton	${5.6}_{-0.8}^{+0.9}\times {10}^{5}$	${4.1}_{-1.6}^{+4.6}\times {10}^{11}$	cdots	cdots	11.1/16	
	${57558}_{-1}^{+1}$	Swift/XRT	${5.6}_{-0.7}^{+0.9}\times {10}^{5}$	${2.5}_{-1.0}^{+2.1}\times {10}^{12}$	cdots	cdots	9.2/15	
	57722	XMM-Newton	${5.5}_{-0.2}^{+0.2}\times {10}^{5}$	${1.4}_{-0.1}^{+0.2}\times {10}^{12}$	cdots	cdots	12.0/15	
