name,band,mjd,flux,flux_lowerr,flux_uperr
WTP18aamced,0.3-10 keV,58450.7766599711,8.942633000000001e-13,1.2112719500000002e-13,1.2112719500000002e-13
WTP18aamced,0.3-10 keV,58455.8885453495,1.4335979e-12,1.6340250500000001e-13,1.6340250500000001e-13
WTP18aamced,0.3-10 keV,58460.6807362106,1.5523977e-12,1.7528542500000001e-13,1.7528542500000001e-13
WTP18aamced,0.3-10 keV,58559.8958110775,1.4033390000000002e-12,1.52463745e-13,1.52463745e-13
WTP18aamced,0.3-10 keV,58752.7823555359,1.3904660000000001e-12,1.8800565e-13,1.8800565e-13
WTP18aamced,0.3-10 keV,58832.0711424537,3.925642e-13,8.4855575e-14,8.4855575e-14
WTP18aamced,0.3-10 keV,58958.5177645938,1.1332279e-13,3.838107e-14,4.8696935e-14
WTP18aampwj,0.3-10 keV,57992.5715859583,1.0152450000000001e-11,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58162.1753434502,5.02915e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58164.9301927164,4.74635e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58166.7946011019,4.9896e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58168.1861397662,5.186650000000001e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58170.9037493796,7.421400000000001e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58172.1017285694,4.6851e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58766.8042927222,1.349355e-12,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58831.6653299664,9.616950000000002e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,58834.0577254387,1.3350050000000001e-12,-1.0,-1.0
WTP18aampwj,0.3-10 keV,59794.6482459352,1.5546300000000002e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,60160.7626281667,4.605300000000001e-13,-1.0,-1.0
WTP18aampwj,0.3-10 keV,60165.6427555278,5.271700000000001e-13,-1.0,-1.0
