name,band,time,flux,flux_err
WTP14acnjbu,W2,59085.126155535,1.6247340039062501,0.02665845716748745
WTP14acnjbu,W2,59286.665314219994,1.242443259765625,0.01569955996740008
WTP14acnjbu,W2,59450.310306485,1.0705333750000001,0.011758282008899636
WTP14acnjbu,W2,59650.912250990004,0.755182208984375,0.005959489291222401
WTP14acnjbu,W2,59814.554280180004,0.2922356215820313,0.0011758804216541255
WTP14adbjsh,W1,55346.361494375,0.07255902796444418,-99.0
WTP14adbjsh,W1,55523.5829129,0.08496800238661767,-99.0
WTP14adbjsh,W1,56807.284978325,0.06537617867396595,-99.0
WTP14adbjsh,W1,56987.40104253,1.9149024213867187,0.036720710570342555
WTP14adbjsh,W1,57169.16633567,59.600504203125006,35.522297420379324
